,iso_code,continent,location,date,total_cases,total_deaths,population,population_density,median_age,gdp_per_capita,life_expectancy,human_development_index,cardiovasc_death_rate,diabetes_prevalence,hospital_beds_per_thousand
109,KAZ,Asia,Kazakhstan,2022-06-09,1395013.0,19016.0,18994958.0,6.681,30.6,24055.588,73.6,0.825,466.792,7.11,6.7
110,NOR,Europe,Norway,2022-06-09,1436118.0,3210.0,5465629.0,14.462,39.7,64800.057,82.4,0.9570000000000001,114.316,5.31,3.6
111,PAK,Asia,Pakistan,2022-06-09,1530967.0,30379.0,225199929.0,255.57299999999998,23.5,5034.708,67.27,0.557,423.031,8.35,0.6
112,IRL,Europe,Ireland,2022-06-09,1570519.0,7416.0,4982904.0,69.874,38.7,67335.293,82.3,0.955,126.459,3.28,2.96
113,GEO,Asia,Georgia,2022-06-09,1655221.0,16811.0,3979773.0,65.032,38.7,9745.079,73.77,0.812,496.218,7.11,2.6
114,JOR,Asia,Jordan,2022-06-09,1697271.0,14068.0,10269022.0,109.285,23.2,8337.49,74.53,0.7290000000000001,208.257,11.75,1.4
115,HUN,Europe,Hungary,2022-06-09,1921486.0,46571.0,9634162.0,108.04299999999999,43.4,26777.561,76.88,0.8540000000000001,278.296,7.55,7.02
116,BGD,Asia,Bangladesh,2022-06-09,1953871.0,29131.0,166303494.0,1265.036,27.5,3523.9840000000004,72.59,0.632,298.003,8.38,0.8
117,SRB,Europe,Serbia,2022-06-09,2019706.0,16096.0,6871547.0,80.291,41.2,14048.881000000001,76.0,0.8059999999999999,439.415,10.08,5.609
118,IRQ,Asia,Iraq,2022-06-09,2329313.0,25221.0,41179351.0,88.125,20.0,15663.986,70.6,0.674,218.612,8.83,1.4
119,SWE,Europe,Sweden,2022-06-09,2510930.0,19049.0,10160159.0,24.718000000000004,41.0,46949.282999999996,82.8,0.945,133.982,4.79,2.22
120,SVK,Europe,Slovakia,2022-06-09,2544255.0,20109.0,5449270.0,113.12799999999999,41.2,30155.152000000002,77.54,0.86,287.959,7.29,5.82
121,ROU,Europe,Romania,2022-06-09,2911877.0,65702.0,19127772.0,85.12899999999999,43.0,23313.199,76.05,0.828,370.94599999999997,9.74,6.892
122,DNK,Europe,Denmark,2022-06-09,3142483.0,6395.0,5813302.0,136.52,42.3,46682.515,80.9,0.94,114.76700000000001,6.41,2.5
123,GRC,Europe,Greece,2022-06-09,3487775.0,29976.0,10370747.0,83.479,45.3,24574.382,82.24,0.888,175.695,4.55,4.21
124,PER,South America,Peru,2022-06-09,3587906.0,213296.0,33359415.0,25.129,29.1,12236.706,76.74,0.777,85.755,5.95,1.6
125,CHE,Europe,Switzerland,2022-06-09,3685281.0,13814.0,8715494.0,214.243,43.1,57410.166,83.78,0.955,99.73899999999999,5.59,4.53
126,PHL,Asia,Philippines,2022-06-09,3692336.0,60456.0,111046910.0,351.87300000000005,25.2,7599.188,71.23,0.718,370.43699999999995,7.07,1.0
127,CHL,South America,Chile,2022-06-09,3783945.0,58036.0,19212362.0,24.281999999999996,35.4,22767.037,80.18,0.851,127.993,8.46,2.11
128,CAN,North America,Canada,2022-06-09,3908292.0,41511.0,38067913.0,4.037,41.4,44017.59099999999,82.43,0.929,105.59899999999999,7.37,2.5
129,CZE,Europe,Czechia,2022-06-09,3922254.0,40297.0,10724553.0,137.17600000000002,43.3,32605.906000000003,79.38,0.9,227.485,6.82,6.63
130,ZAF,Africa,South Africa,2022-06-09,3975062.0,101448.0,60041996.0,46.754,27.3,12294.876,64.13,0.7090000000000001,200.38,5.52,2.32
131,ISR,Asia,Israel,2022-06-09,4169330.0,10867.0,9291000.0,402.606,30.6,33132.32,82.97,0.919,93.32,6.74,2.99
